100 324.359390 390.548721 377.145012 
114 343.069121 400.959134 372.200477 
131 339.104156 399.376621 386.137238 
150 341.564619 391.895030 388.243414 
172 337.923230 394.728725 386.395930 
197 322.827953 392.513246 390.179540 
226 320.764064 393.965051 389.669379 
259 320.840217 393.575095 388.284386 
297 317.064313 393.822737 389.585596 
341 316.066614 392.386381 389.233701 
392 227.219289 393.781014 391.152347 
450 161.136309 395.464902 394.536028 
517 142.463456 392.715157 384.214770 
594 117.801626 379.614478 383.127589 
683 156.901556 388.523723 381.724617 
785 124.449353 375.091255 381.126207 
902 153.063096 386.701354 387.767946 
